,,2,25HR-JS, ,,,, , ,Web Dev JS Pr online,,,,,
,,3,25HR-CS, ,,OOP CS Pr aud 330, ,High Math Pr2 aud 345, , ,,,,,
,29-May,Fri 1,25HR-JA,OOP Java Lc online,"AlgorithmsAndDS Pr1
online", , ,English NS2 online, , ,,,,,
,,2,25HR-JS, ,, ,,, , ,,,,,
,,3,25HR-CS, ,OOP CS Lc (online),AlgorithmsAndDS Pr2 online, ,, , ,,,,,
,30-May,Sat 1,25HR-JA, ,"HtH
online
 ?????? 10.00", , , , , ,,,,,
,,2,25HR-JS, ,, ,, , , ,,,,,
,,3,25HR-CS, ,, , , , , ,,,,,
,31-May,Sun,, , , , , , , ,,,,,
14 Week,1-Jun,Mon 1,25HR-JA, , ,"English AT aud 340
English NS2 online", ,English NS1 online, , ,,,,,
,,2,25HR-JS, , ,,,,,Web Dev JS Pr online,,,,,
,,3,25HR-CS, , ,, ,, , ,,,,,
,2-Jun,Tue 1,25HR-JA,OOP Java Pr online, , , ,"English AT aud 340
English NS1 online", , ,,,,,
,,2,25HR-JS, , , ,,, , ,,,,,
,,3,25HR-CS, , , , ,, , ,,,,,
,3-Jun,Wed 1,25HR-JA,OOP Java Pr online,"High Math
Test 3
aud 331","English AT aud 340
English NS2 online", ,English NS1 online,"Software Testing
(online)", ,,,,,
,,2,25HR-JS, ,,, ,,,Web Dev JS Lc online,,,,,
,,3,25HR-CS, ,,, ,,, ,,,,,
,4-Jun,Thu 1,25HR-JA, ,"High Math Lc
aud 339",High Math Pr1 aud 345, , , , ,,,,,
,,2,25HR-JS, ,,,, , ,Web Dev JS Pr online,,,,,
,,3,25HR-CS, ,,OOP CS Pr aud 330, ,High Math Pr2 aud 345, , ,,,,,
,5-Jun,Fri 1,25HR-JA,OOP Java Lc online,"AlgorithmsAndDS Pr1
online", , ,English NS2 online, , ,,,,,
,,2,25HR-JS, ,, ,,, , ,,,,,
,,3,25HR-CS, ,OOP CS Lc (online),AlgorithmsAndDS Pr2 online, ,, , ,,,,,
,6-Jun,Sat 1,25HR-JA, , , , , , , ,,,,,
,,2,25HR-JS, , , ,, , , ,,,,,
,,3,25HR-CS, , , , , , , ,,,,,
,7-Jun,Sun,, , , , , , , ,,,,,
15 Week,8-Jun,Mon 1,25HR-JA, , ,"English AT aud 340
English NS2 online", ,English NS1 online, , ,,,,,
,,2,25HR-JS, , ,,,, ,Web Dev JS Pr online,,,,,
,,3,25HR-CS, , ,, ,, , ,,,,,
,9-Jun,Tue 1,25HR-JA,OOP Java Pr online, , , ,"English AT aud 340
English NS1 online", , ,,,,,
,,2,25HR-JS, , , ,,, , ,,,,,
,,3,25HR-CS, , , , ,, , ,,,,,
,10-Jun,Wed 1,25HR-JA,OOP Java Pr online,,"English AT aud 340
English NS2 online", ,English NS1 online,"Software Testing
(online)", ,,,,,
,,2,25HR-JS, ,,, ,,,Web Dev JS Lc online,,,,,
,,3,25HR-CS, ,,, ,,, ,,,,,
,11-Jun,Thu 1,25HR-JA, ,"High Math Lc
aud 339",High Math Pr1 aud 345, , , , ,,,,,
,,2,25HR-JS, ,,,, , ,Web Dev JS Pr online,,,,,
,,3,25HR-CS, ,,OOP CS Pr aud 330, ,High Math Pr2 aud 345, , ,,,,,
,12-Jun,Fri 1,25HR-JA,OOP Java Lc online,"AlgorithmsAndDS Pr1
online", , ,English NS2 online, , ,,,,,
,,2,25HR-JS, ,, ,,, , ,,,,,
,,3,25HR-CS, ,OOP CS Lc (online),AlgorithmsAndDS Pr2 online, ,, , ,,,,,
,13-Jun,Sat 1,25HR-JA, , , , , , , ,,,,,
,,2,25HR-JS, , , ,, , , ,,,,,
,,3,25HR-CS, , , , , , , ,,,,,
,14-Jun,Sun,, , , , , , , ,,,,,
16 Week,15-Jun,Mon 1,25HR-JA, , ,"English AT aud 340
English NS2 online", ,English NS1 online, , ,,,,,
,,2,25HR-JS, , ,,,, ,Web Dev JS Pr online,,,,,
,,3,25HR-CS, , ,, ,, , ,,,,,
,16-Jun,Tue 1,25HR-JA,OOP Java Pr online, , , ,English AT aud 340, , ,,,,,
,,2,25HR-JS, , , ,,, , ,,,,,
,,3,25HR-CS, , , , ,, , ,,,,,
,17-Jun,Wed 1,25HR-JA, , ,"English AT aud 340
English NS2 online", , ,"Software Testing
(online)", ,,,,,
,,2,25HR-JS, , ,, , ,,Web Dev JS Pr online,,,,,
,,3,25HR-CS, , ,, , ,, ,,,,,
,18-Jun,Thu 1,25HR-JA, ,"High Math Lc
aud 339",High Math Pr1 aud 345, , , , ,,,,,
,,2,25HR-JS, ,,,, , ,Web Dev JS Pr online,,,,,
,,3,25HR-CS, ,,OOP CS Pr aud 330, ,High Math Pr2 aud 345, , ,,,,,
,19-Jun,Fri 1,25HR-JA,OOP Java Lc online,"AlgorithmsAndDS Pr1
online", , ,English NS2 online, , ,,,,,
,,2,25HR-JS, ,, ,,, , ,,,,,
,,3,25HR-CS, ,OOP CS Lc (online),AlgorithmsAndDS Pr2 online, ,, , ,,,,,
,20-Jun,Sat 1,25HR-JA, , , , , , , ,,,,,
,,2,25HR-JS, , , ,, , , ,,,,,
,,3,25HR-CS, , , , , , , ,,,,,
,21-Jun,Sun,, , , , , , , ,,,,,
17 Week,22-Jun,Mon 1,25HR-JA, , ,English AT aud 340, , ,"AlgorithmsAndDS Pr1
online", ,,,,,
,,2,25HR-JS, , ,,, ,,Web Dev JS Pr online,,,,,
,,3,25HR-CS, , ,, , , ,AlgorithmsAndDS Pr2 online,,,,,
,23-Jun,Tue 1,25HR-JA,OOP Java Pr online, , , ,English AT aud 340, , ,,,,,
,,2,25HR-JS, , , ,,, , ,,,,,
,,3,25HR-CS, ,OOP CS Pr aud 330, , ,, , ,,,,,
,24-Jun,Wed 1,25HR-JA, , , , , , , ,,,,,
,,2,25HR-JS, , , , , , , ,,,,,
,,3,25HR-CS, , , , , , , ,,,,,
,25-Jun,Thu 1,25HR-JA, , , , ,"Software Testing
(online)", , ,,,,,
,,2,25HR-JS, , , ,,, ,Web Dev JS Pr online,,,,,
,,3,25HR-CS, , ,OOP CS Pr aud 330, ,, , ,,,,,
,26-Jun,Fri 1,25HR-JA,OOP Java Lc online,"AlgorithmsAndDS Pr1
online", , , , , ,,,,,
,,2,25HR-JS, ,, ,, , , ,,,,,
,,3,25HR-CS, ,OOP CS Lc (online),AlgorithmsAndDS Pr2 online, , , , ,,,,,
,27-Jun,Sat 1,25HR-JA, , , , , , , ,,,,,
,,2,25HR-JS, , , ,, , , ,,,,,
,,3,25HR-CS, , , , , , , ,,,,,
,28-Jun,Sun,, , , , , , , ,,,,,
1 Final Week,29-Jun,Mon 1,25HR-JA, , , , , , , ,,,,,
,,2,25HR-JS, , , ,, , ,Web Dev JS Pr online,,,,,
,,3,25HR-CS, , , , , , , ,,,,,
,30-Jun,Tue 1,25HR-JA,OOP Java Pr online, , , , , , ,,,,,
,,2,25HR-JS, , , ,, , , ,,,,,
,,3,25HR-CS, , , , , , , ,,,,,
,1-Jul,Wed 1,25HR-JA, , , , , , , ,,,,,
,,2,25HR-JS, , , ,, , , ,,,,,
,,3,25HR-CS, , , , , , , ,,,,,
,2-Jul,Thu 1,25HR-JA, , , , , , , ,,,,,
,,2,25HR-JS, , , , , , ,Web Dev JS Pr online,,,,,
,,3,25HR-CS, , , , , , , ,,,,,
,3-Jul,Fri 1,25HR-JA, , , , , , , ,,,,,
,,2,25HR-JS, , , ,, , , ,,,,,
,,3,25HR-CS, , , , , , , ,,,,,
,4-Jul,Sat 1,25HR-JA, , , , , , , ,,,,,
,,2,25HR-JS, , , ,, , , ,,,,,
,,3,25HR-CS, , , , , , , ,,,,,
,5-Jul,Sun,, , , , , , , ,,,,,
2 Final Week,6-Jul,Mon 1,25HR-JA, , , , , , , ,,,,,
,,2,25HR-JS, , , , , , , ,,,,,
,,3,25HR-CS, , , , , , , ,,,,,
,7-Jul,Tue 1,25HR-JA, , , , , , , ,,,,,
,,2,25HR-JS, , , ,, , , ,,,,,
,,3,25HR-CS, , , , , , , ,,,,,
,8-Jul,Wed 1,25HR-JA, , , , , , , ,,,,,
,,2,25HR-JS, , , ,, , , ,,,,,
,,3,25HR-CS, , , , , , , ,,,,,
,9-Jul,Thu 1,25HR-JA, , , , , , , ,,,,,
,,2,25HR-JS, , , ,, , , ,,,,,
,,3,25HR-CS, , , , , , , ,,,,,
